"V1","V2","V3","V4","V5"
"408","65andolder","Asian","above_poor","staten_Island","Non_institutionalized"
"409","65andolder","Asian","above_poor","staten_Island","Non_institutionalized"
"410","65andolder","Asian","above_poor","staten_Island","Non_institutionalized"
"411","65andolder","Asian","above_poor","staten_Island","Non_institutionalized"
"412","65andolder","Asian","above_poor","staten_Island","Non_institutionalized"
"413","65andolder","Asian","above_poor","staten_Island","Non_institutionalized"
"414","65andolder","Asian","above_poor","staten_Island","Non_institutionalized"
"415","65andolder","Asian","above_poor","staten_Island","Non_institutionalized"
"416","65andolder","Asian","above_poor","staten_Island","Non_institutionalized"
"417","65andolder","Asian","above_poor","staten_Island","Non_institutionalized"
"418","65andolder","Multiracial","above_poor","staten_Island","Non_institutionalized"
"419","65andolder","Multiracial","above_poor","staten_Island","Non_institutionalized"
"420","65andolder","Multiracial","above_poor","staten_Island","Non_institutionalized"
"421","65andolder","Multiracial","above_poor","staten_Island","Non_institutionalized"
"422","65andolder","Multiracial","above_poor","staten_Island","Non_institutionalized"
"423","65andolder","Multiracial","above_poor","staten_Island","Non_institutionalized"
